[PASS]  203.66.211.140   => 218.52.39.161   	 real_cnt=2    	 estimate = 2.0   
[ERROR] 203.66.211.140   => 221.187.20.42   	 real_cnt=2    	 estimate = 16.0  
[ERROR] 222.227.19.3     => 203.66.193.242  	 real_cnt=2    	 estimate = 138.0 
[PASS]  203.66.211.140   => 122.113.86.78   	 real_cnt=2    	 estimate = 2.0   
[ERROR] 172.39.48.17     => 131.30.187.40   	 real_cnt=38   	 estimate = 8.0   
[ERROR] 108.121.130.64   => 163.221.116.250 	 real_cnt=2    	 estimate = 4.0   
[ERROR] 203.66.211.140   => 153.49.237.149  	 real_cnt=2    	 estimate = 4.0   
[PASS]  172.39.225.133   => 163.221.147.174 	 real_cnt=6    	 estimate = 6.0   
[PASS]  203.66.211.140   => 119.176.136.140 	 real_cnt=2    	 estimate = 2.0   
[ERROR] 203.66.211.140   => 112.100.201.64  	 real_cnt=2    	 estimate = 4.0   
[ERROR] 203.66.211.140   => 112.103.5.206   	 real_cnt=2    	 estimate = 0.0   
[ERROR] 203.66.211.140   => 183.207.54.95   	 real_cnt=2    	 estimate = 4.0   
[PASS]  203.66.211.140   => 220.247.88.41   	 real_cnt=2    	 estimate = 2.0   
[ERROR] 150.192.246.87   => 216.245.69.27   	 real_cnt=2    	 estimate = 4.0   
[ERROR] 203.66.193.201   => 13.249.182.174  	 real_cnt=4    	 estimate = 2.0   
[PASS]  203.66.211.140   => 124.91.61.146   	 real_cnt=2    	 estimate = 2.0   
[ERROR] 150.192.58.186   => 103.234.186.74  	 real_cnt=57   	 estimate = 4.0   
[ERROR] 203.66.211.140   => 217.123.28.41   	 real_cnt=2    	 estimate = 4.0   
[ERROR] 131.31.203.82    => 103.244.164.141 	 real_cnt=16   	 estimate = 0.0   
[ERROR] 203.247.102.70   => 163.221.144.159 	 real_cnt=4    	 estimate = 2.0   
[ERROR] 203.66.195.167   => 202.49.203.88   	 real_cnt=10   	 estimate = 0.0   
[PASS]  203.66.211.140   => 42.96.188.211   	 real_cnt=2    	 estimate = 2.0   
[ERROR] 203.66.211.140   => 35.0.233.169    	 real_cnt=2    	 estimate = 8.0   
[PASS]  131.31.172.109   => 108.121.153.178 	 real_cnt=2    	 estimate = 2.0   
[ERROR] 203.66.211.140   => 180.199.86.208  	 real_cnt=2    	 estimate = 76.0  
[ERROR] 121.144.116.91   => 203.66.193.176  	 real_cnt=14   	 estimate = 38.0  
[ERROR] 203.66.211.140   => 60.69.26.146    	 real_cnt=2    	 estimate = 0.0   
[ERROR] 131.31.179.34    => 23.220.96.161   	 real_cnt=80   	 estimate = 3545.0 
[ERROR] 131.31.193.203   => 172.39.225.172  	 real_cnt=4    	 estimate = 156.0 
[PASS]  203.66.195.191   => 172.39.49.148   	 real_cnt=2    	 estimate = 2.0   
[ERROR] 150.192.108.70   => 211.118.81.217  	 real_cnt=6    	 estimate = 0.0   
[PASS]  203.66.211.140   => 122.92.151.231  	 real_cnt=2    	 estimate = 2.0   
[ERROR] 203.66.211.140   => 114.184.105.53  	 real_cnt=2    	 estimate = 12.0  
[ERROR] 163.221.34.248   => 117.226.247.15  	 real_cnt=2    	 estimate = 40.0  
[ERROR] 131.31.76.228    => 172.136.212.122 	 real_cnt=4    	 estimate = 2.0   
[ERROR] 172.39.62.79     => 163.221.145.3   	 real_cnt=12   	 estimate = 10.0  
[ERROR] 203.66.211.140   => 112.112.44.137  	 real_cnt=2    	 estimate = 4.0   
[ERROR] 172.39.49.203    => 163.221.146.209 	 real_cnt=2    	 estimate = 126.0 
[ERROR] 203.66.211.140   => 223.243.43.91   	 real_cnt=2    	 estimate = 0.0   
[ERROR] 203.66.211.140   => 116.219.146.84  	 real_cnt=2    	 estimate = 28.0  
[ERROR] 203.66.211.140   => 210.33.125.66   	 real_cnt=2    	 estimate = 19.0  
[ERROR] 131.31.131.195   => 202.51.41.218   	 real_cnt=23   	 estimate = 0.0   
[ERROR] 202.13.220.49    => 118.201.248.98  	 real_cnt=2    	 estimate = 4.0   
[ERROR] 210.19.119.189   => 203.66.212.123  	 real_cnt=2    	 estimate = 4.0   
[ERROR] 114.156.22.199   => 133.117.99.156  	 real_cnt=2    	 estimate = 0.0   
[ERROR] 203.66.211.140   => 153.66.211.212  	 real_cnt=2    	 estimate = 76.0  
[ERROR] 202.242.42.70    => 192.125.28.38   	 real_cnt=4    	 estimate = 23.0  
[ERROR] 14.3.106.118     => 203.66.193.201  	 real_cnt=4    	 estimate = 0.0   
[PASS]  118.224.121.171  => 203.66.193.242  	 real_cnt=2    	 estimate = 2.0   
[ERROR] 203.66.211.140   => 36.246.69.217   	 real_cnt=2    	 estimate = 4.0   
